Aerolinea,Categoria_Negocio,Metrica_Extraida,Contexto_Limpiado
Avianca,Operaciones_y_Flota,1996 ,"Esto dio vida al Sistema Avianca, que contó con servicios en las áreas de carga (Avianca Carga)​ y correo (Servicios Postales, que en 1996 empezó a op..."
Avianca,Finanzas_y_Costos,10 ,"En el proceso de reestructuración, la aerolínea extendió sus servicios alrededor del mundo con la firma de acuerdos comerciales y de código compartido..."
Avianca,Operaciones_y_Flota,28 ,"En este punto, Avianca cambia su razón social a Aerovías del Continente Americano, manteniendo su nombre comercial Avianca. El 28 de febrero de 2005, ..."
Avianca,Finanzas_y_Costos,2009 ,En 2009 la empresa inauguró una nueva sede en la torre 2 de la Ciudad Empresarial Sarmiento Angulo.​ El mismo año se hizo oficialmente pública la inte...
Avianca,Operaciones_y_Flota,2017 ,"Germán Efromovich aseguró en una rueda de prensa que la aerolínea no va a ser sustituida por la marca United.​ Así mismo, el director de United asegur..."
Avianca,Operaciones_y_Flota,1000 ,"Al término de la huelga, la empresa despidió a 1000 de sus trabajadores. También en 2017 Avianca es la segunda aerolínea que opera más vuelos internac..."
Avianca,Finanzas_y_Costos,2017,"Así mismo, debido al paro de pilotos de ACDAC en 2017, Avianca informó que solo hasta octubre de 2018 se restablecerán todos los itinerarios que manej..."
Avianca,Operaciones_y_Flota,72,Esta nueva aerolínea operaba con equipo ATR 72. Ante la renuncia de Germán Efromovich (accionista mayoritario de Avianca) de cancelar un préstamo que ...
Avianca,Finanzas_y_Costos,10 ,"Sin embargo, el 10 de mayo de 2020, Avianca se declaró en bancarrota del capítulo 11 por la segunda vez en su historia; la compañía tuvo una deuda de ..."
Avianca,Operaciones_y_Flota,20 %,"Además, cambia la configuración de sus aviones, aumentando la capacidad de pasajeros hasta en un 20 %, para adaptarse a la nueva realidad y a la compe..."
Avianca,Operaciones_y_Flota,319,"Con la salida de bancarrota, desaparece Avianca Holdings y se crea un nuevo grupo con razón social en el Reino Unido llamado Avianca Group Internation..."
Avianca,Operaciones_y_Flota,100 aviones,"Además, la compañía confirmó una orden de más de 100 aviones A320neo que se incorporarán a la flota entre 2025 y 2031.  Flota histórica Destinos Avian..."
Avianca,Operaciones_y_Flota,2023,"A partir de octubre de 2023, la aerolínea operaba seis vuelos con una oferta de más de 1000 sillas a la semana en la ruta de Bogotá a Tegucigalpa, (Pa..."
Avianca,Finanzas_y_Costos,3 ,"La aerolínea empezó operaciones desde Bogotá a París desde el 3 de julio de 2024, con cinco frecuencias a la semana en aeronaves Boeing 787Dreamliner...."
Avianca,Operaciones_y_Flota,200 ,"Los socios LifeMiles pueden acumular millas cada vez que vuelen con Avianca, aerolíneas miembro de Star Alliance, así como con GOL Airlines, Aeroméxic..."
Avianca,Finanzas_y_Costos,46 ,"Las 46 personas a bordo fueron secuestradas por el ELN y varias de ellas duraron más de un año en cautiverio.​ El 31 de octubre de 2024, el vuelo 46 d..."
Avianca,Operaciones_y_Flota,27 ,"Se salvan todos sus ocupantes.​ El 27 de noviembre de 2024, el vuelo 9418 de Avianca que iba a volar de Pereira a Bogotá, un Airbus A320, quedó inmovi..."
Copa Airlines,Operaciones_y_Flota,89 ,(conocida como Copa y denominada simplemente Copa Airlines) es la aerolínea de bandera de Panamá con su centro de conexiones principal en el Aeropuert...
Copa Airlines,Finanzas_y_Costos,3,Inició vuelos nacionales a tres ciudades de Panamá utilizando un avión Douglas DC-3.​ En 1960 amplió a tres las frecuencias semanales a las ciudades d...
Copa Airlines,Operaciones_y_Flota,737,"Los aviones modelo Boeing 737-200 arribaron a mediados de los 80, alcanzando 26 aviones a la flota con esta especificación. El año 1992 marcaría la co..."
Copa Airlines,Operaciones_y_Flota,1998,"Se añaden los destinos de Caracas (Venezuela), Ciudad de México (México), Santiago de Chile (Chile), Cali y Bogotá (Colombia), Quito y Guayaquil (Ecua..."
Copa Airlines,Operaciones_y_Flota,737 ,"Dos años después, inicia la renovación de su flota con aviones Boeing 737 Next Generation y amplía la red de destinos a Cancún, Orlando, São Paulo, Lo..."
Copa Airlines,Finanzas_y_Costos,14 millones,"Ese mismo año, Copa Holdings, S.A., la empresa tenedora de las acciones de Copa Airlines, lanza una oferta pública de 14 millones de acciones en la Bo..."
Copa Airlines,Operaciones_y_Flota,2011,"En el 2011, Copa Airlines empezó a operar dos nuevos horarios de conexiones, pasando de cuatro a seis los horarios de conexiones en el Aeropuerto Inte..."
Copa Airlines,Operaciones_y_Flota,2012,"Se espera que este acuerdo sea efectivo en junio de 2012, cuando Air Panama empiece vuelos desde Ciudad de Panamá, Panamá a Isla Colón, Bocas del Toro..."
Copa Airlines,Operaciones_y_Flota,74 ,"Copa Airlines, vuelve a servir al mercado doméstico volando dos veces al día a David y conectando a la provincia de Chiriquí con sus 74 destinos a tra..."
Copa Airlines,Operaciones_y_Flota,2017 ,"Copa Airlines es la aerolínea más importante de Centroamérica. En noviembre de 2017 inician vuelos a Mendoza, Argentina y en diciembre de 2017, inicia..."
Copa Airlines,Operaciones_y_Flota,2018 ,"También inicia la ruta a Bridgetown, Barbados. En septiembre de 2018 recibe su primer Boeing 737 MAX 9, el cual sería el primero de un pedido de 61 av..."
Copa Airlines,Operaciones_y_Flota,79 ,"Esto amplía su red de rutas a 79 destinos en 32 países en el norte, centro y sur de América incluyendo el Caribe..."
Copa Airlines,Operaciones_y_Flota,2019 ,"También inició la ruta a Salta, Argentina. Para el 2019 empezó a volar hacia Paramaribo (Surinam) a partir del 6 de julio de 2019, convirtiéndose en s..."
Copa Airlines,Finanzas_y_Costos,1300 ,El programa conserva el modelo de acumulación y redención de millas que los pasajeros de Copa Airlines han disfrutado en los últimos años. Con el prog...
Copa Airlines,Operaciones_y_Flota,2005 ,"Además, los requisitos para calificar a un estatus del PreferProgram serán más flexibles y se podrán obtener beneficios exclusivos como ascensos de cl..."
Copa Airlines,Operaciones_y_Flota,47 ,"Producto de este lamentable accidente, se registraron 47 víctimas fatales que se encontraban a bordo del vuelo. El 19 de noviembre de 1993, el vuelo 3..."
Copa Airlines,Operaciones_y_Flota,107 pasajeros,"m., un avión de Copa Airlines procedente de Guayaquil, Ecuador, con 107 pasajeros, se salió de la pista mientras aterrizaba en el Aeropuerto Internaci..."
Copa Airlines,Operaciones_y_Flota,155 pasajeros,Los 155 pasajeros y seis ocupantes fueron evacuados sin inconvenientes...
Copa Airlines,Operaciones_y_Flota,159 pasajeros,"El vuelo transportaba 159 pasajeros y siete tripulantes, los cuales fueron evacuados de emergencia por los toboganes de la aeronave..."
Copa Airlines,Operaciones_y_Flota,1947,"Afortunadamente en ese incidente no se registraron víctimas mortales ni tampoco personas heridas.  Libreas Desde su fundación en 1947, Copa Airlines h..."
Copa Airlines,Operaciones_y_Flota,2014,"Este fue el tercer avión de la flota con la librea de Star Alliance. En agosto de 2014, Copa Airlines trabajó con la Autoridad del Canal de Panamá par..."
Copa Airlines,Operaciones_y_Flota,737,"La campaña incluyó la aplicación de una librea especial, que tiene una imagen gráfica de las cerraduras, en la parte posterior de dos aviones Boeing 7..."
Copa Airlines,Operaciones_y_Flota,737,"Anteriormente tenían un 737-800 con librea de los 100 años del Canal de Panamá (HP-1727CMP), un 737-800 con librea en honor al fútbol de Rosario (HP-1..."
Copa Airlines,Operaciones_y_Flota,1841,"(HP-1841)  Reconocimientos En 2013, 2014,2015 y 2017 la compañía Copa Airlines fue galardonada como la aerolínea más puntual de América Latina por la ..."
Aerolíneas Argentinas,Operaciones_y_Flota,90 %,"(ARSA) es la aerolínea de bandera de Argentina, dedicada al transporte comercial de pasajeros y carga.​ Fue considerada una de las compañías áreas más..."
Aerolíneas Argentinas,Operaciones_y_Flota,1990 ,"La empresa también administra Aerolíneas Cargo y Jet Paq, la empresa de servicios de rampa Aerohandling y la empresa de servicios turísticos Optar.​  ..."
Aerolíneas Argentinas,Operaciones_y_Flota,1932 ,"En 1932 las autoridades del Poder Judicial cambian la denominación jurídica e igualan los nombres de la empresa: Aeroposta Argentina S.A, comenzando a..."
Aerolíneas Argentinas,Operaciones_y_Flota,3 ,"De esta manera, el Estado Nacional y los socios del sector privado crean las «Sociedades Mixtas»:  la antigua Aeroposta Argentina SA pasa a ser Socied..."
Aerolíneas Argentinas,Operaciones_y_Flota,50 %,"prestando servicios a Montevideo, el litoral y llegando hasta Asunción del Paraguay. FAMA - Flota Aérea Mercante Argentina, establece los primeros ser..."
Aerolíneas Argentinas,Operaciones_y_Flota,1950,"El aviador Andrés Pedraza fue su primer piloto contratado. ZONDA (Zonas Oeste y Norte de Aerolíneas Argentinas), reemplaza a Panagra - Pan American Gr..."
Aerolíneas Argentinas,Operaciones_y_Flota,3 ,"Los Douglas DC-3 de Aeroposta y ZONDA, que permitieron volar a destinos de cabotaje que eran inaccesibles hasta entonces, así como mantener las rutas ..."
Aerolíneas Argentinas,Operaciones_y_Flota,3,"La base de la flota eran treinta y seis aviones Douglas DC-3, y para los vuelos a Europa y Estados Unidos se utilizaban los flamantes DC-4..."
Aerolíneas Argentinas,Finanzas_y_Costos,1951,"Fueron clave para el crecimiento de Aerolíneas los nombres de Alfonso Aliaga García y Dirk Wessel Van Layden, quien había sido piloto de la línea aére..."
Aerolíneas Argentinas,Operaciones_y_Flota,1960 ,Cabe destacar que Aerolíneas fue la primera compañía en volar reactores en Latinoamérica. En abril de 1960 quedan fuera de servicio los hidroaviones y...
Aerolíneas Argentinas,Operaciones_y_Flota,1962 ,"En enero de 1962 se incorporan los Sud Aviation Caravelle III y los Avro 748 para las rutas nacionales, en reemplazo de los Douglas DC-3 y DC-4..."
Aerolíneas Argentinas,Operaciones_y_Flota,1979,"También se abrieron nuevos destinos como Bogotá, Caracas, Ciudad de México, Miami, Los Ángeles y Montreal. Aerolíneas apareció en varias películas de ..."
Aerolíneas Argentinas,Operaciones_y_Flota,1980 ,"En 1980 se incorporó a la flota el Boeing 747SP y se abrieron las primeras rutas transpolares hacia Melbourne, Australia y Auckland, Nueva Zelanda.  G..."
Aerolíneas Argentinas,Finanzas_y_Costos,1610 millones,"Iberia abonó 1610 millones de dólares en títulos públicos y apenas 260 millones en efectivo, para conseguir el dinero se endeudaron y transfirieron el..."
Aerolíneas Argentinas,Operaciones_y_Flota,1996 ,"Pese al aumento de pasajeros de los años 1996 y 1997  y la reducción del pasivo de Aerolíneas, no fue suficiente para hacer viable la explotación de l..."
Aerolíneas Argentinas,Operaciones_y_Flota,2000 ,La situación no mejoró y en el año 2000 se declararon en convocatoria de acreedores.​ Durante esta etapa se vendieron aeronaves antiguas y muchas prop...
Aerolíneas Argentinas,Operaciones_y_Flota,2001,"El gobierno español intentó vender sus acciones a American Airlines, que manejó la aerolínea por nueve meses, pero desestimó la oferta.​ En junio de 2..."
Aerolíneas Argentinas,Finanzas_y_Costos,100 millones,"En julio del mismo año, la aerolínea Aero Continente presentó a la SEPI una oferta de compra de la empresa argentina por 100 millones de dólares.​​  E..."
Aerolíneas Argentinas,Finanzas_y_Costos,890 millones,"La Auditoría General de la Nación estableció entonces que Aerolíneas Argentinas había quedado, luego de dieciocho años de gestión española, con un pat..."
Aerolíneas Argentinas,Finanzas_y_Costos,2002 ,Tras recibir una inyección de capital (cincuenta millones de dólares del Grupo Marsans) pudo retomar la prestación. En 2002 la empresa salió de la con...
Aerolíneas Argentinas,Operaciones_y_Flota,310,"Ya por estas fechas Aerolíneas poseía una flota de aviones Airbus A310, Airbus A340-200, Boeing 737-200, Boeing 747-200, McDonnell Douglas MD-83 y McD..."
Aerolíneas Argentinas,Operaciones_y_Flota,2005 ,En 2005 el Grupo Marsans intentó crear Aerolíneas del Perú como filial peruana de Aerolíneas Argentinas.​ Esta filial chilena volaba con bastante éxit...
Aerolíneas Argentinas,Finanzas_y_Costos,2007,"Se denunció que el Grupo Marsans utilizó a Aerolíneas Argentinas para beneficiar sus empresas. A 2007, Aerolíneas mostraba en sus Estados Contables un..."
Aerolíneas Argentinas,Finanzas_y_Costos,17 ,Casualmente ambas aerolíneas quebraron luego de que el Grupo Marsans fue obligado a retirarse de Aerolíneas Argentinas; literalmente se dice que se co...
Aerolíneas Argentinas,Finanzas_y_Costos,803 millones,"La pérdida del período era de 803 millones, y los resultados no asignados, también negativos por 1891 millones de pesos.​ El pasivo se encontraba subv..."
Aerolíneas Argentinas,Finanzas_y_Costos,24 ,"Entre otros aspectos, las partes se comprometieron a que el precio de venta de las acciones fuera fijado por una evaluadora designada por la empresa y..."
Aerolíneas Argentinas,Finanzas_y_Costos,10 %,"Establecía además, la transferencia de un máximo del 10 % del paquete accionario del Grupo a sus trabajadores.​​ La compañía proyectaba un déficit de ..."
Aerolíneas Argentinas,Finanzas_y_Costos,2010 ,"También agregaron que Aerolíneas Argentinas vuela con más frecuencias y ofrece un servicio de mayor calidad, con una nueva lógica de conexión federal...."
Aerolíneas Argentinas,Finanzas_y_Costos,2008,"En tanto Gerardo Díaz Ferrán, exsocio de Mata en AirComet, empresa dueña de Aerolíneas Argentinas hasta el año 2008, fue puesto en prisión preventiva ..."
Aerolíneas Argentinas,Finanzas_y_Costos,832 millones,El Tribunal de Tasación de la Nación consideró que la compañía estaba quebrada y tenía un valor de -832 millones de dólares; mientras que el consorcio...
Aerolíneas Argentinas,Operaciones_y_Flota,13 ,"Este comité estaría integrado por Julio Alak, Jorge Simeonoff, Juan de Dios Cincunegui y Héctor María García Cuerva.​​ Se instruyó además a la Procura..."
Aerolíneas Argentinas,Finanzas_y_Costos,19.4 ,"De ellas, cinco se encontraban bajo el régimen de leasing financiero, y otras cincuenta y ocho bajo leasing operativo.​ Era la flota más antigua de en..."
Aerolíneas Argentinas,Finanzas_y_Costos,1 ,"Cinco de ellas se encontraban bajo el régimen de leasing financiero, y otras sesenta bajo leasing operativo (a un costo mensual de 1 668 000 dólares y..."
Aerolíneas Argentinas,Operaciones_y_Flota,2009,"Durante 2009, la empresa operó en cincuenta y cuatro rutas, veinte de ellas internacionales.​ Todas las rutas  perdían dinero (excepto Florianópolis, ..."
Aerolíneas Argentinas,Operaciones_y_Flota,2010 ,"A mayo de 2010 la ruta se opera con dos frecuencias semanales los días jueves y domingos, a bordo de los recientemente incorporados Boeing 737‑700.​ A..."
Aerolíneas Argentinas,Operaciones_y_Flota,14 ,"Todas las aeronaves poseen winglets, excepto los LV-BYY y LV-GOO. Desde el 14 de marzo de 2010, acompañado de una nueva programación en todos los vuel..."
Aerolíneas Argentinas,Operaciones_y_Flota,17 ,Los vuelos a San Pablo y Río de Janeiro son los únicos que se siguen ofreciendo desde y hacia ambos aeropuertos conservando Montevideo y Punta del Est...
Aerolíneas Argentinas,Operaciones_y_Flota,14 ,"A las pocas horas de la presentación, la página web de la empresa fue actualizada completamente acorde a la nueva imagen.​ El 14 de marzo de 2010 la e..."
Aerolíneas Argentinas,Operaciones_y_Flota,80 ,"Casi en simultáneo con dos aeronaves MD-80 se realizan los tramos de ida y vuelta por separado, Iguazú-Salta-Mendoza-Bariloche y Bariloche-Mendoza-Sal..."
Aerolíneas Argentinas,Operaciones_y_Flota,20 ,Estos vuelos son operados dos veces por semana los días miércoles y sábados con aviones de Austral Líneas Aéreas. El 20 de septiembre de 2010 fueron i...
Aerolíneas Argentinas,Operaciones_y_Flota,98 pasajeros,"Todas las aeronaves encargadas están configuradas para transportar a 98 pasajeros, y cada butaca cuenta con pantallas individuales para un mejor entre..."
Aerolíneas Argentinas,Operaciones_y_Flota,29 ,en todos los aeropuertos y común acumulación de millas en cualquiera de las aerolíneas pertenecientes a esta alianza.​ Delta Air Lines como miembro fu...
Aerolíneas Argentinas,Finanzas_y_Costos,7 ,"Esta decisión implicó retomar una de las rutas emblemáticas de la compañía, abandonada durante la gestión de Marsans. El 7 de febrero de 2011, según u..."
Aerolíneas Argentinas,Operaciones_y_Flota,20 %,"Ese año la cantidad de vuelos de la empresa aumentó alrededor de 20 %.​ El 5 de marzo de 2014, después de veinticinco años, Aerolíneas Argentinas medi..."
Aerolíneas Argentinas,Operaciones_y_Flota,190,Los vuelos tienen una frecuencia diaria operados con aeronaves Embraer 190...
Aerolíneas Argentinas,Operaciones_y_Flota,2014,"De esta manera, Aerolíneas vuelve a volar a todas las capitales del país.​ en junio de ese año el secretario de Transporte, Alejandro Ramos, adelantó ..."
Aerolíneas Argentinas,Operaciones_y_Flota,3 ,El Plan Operativo contempla la apertura de nuevas rutas internacionales donde se destacan: Punta Cana con tres frecuencias semanales; La Habana con do...
Aerolíneas Argentinas,Operaciones_y_Flota,1978 ,Es el primer avión cero kilómetro de fuselaje ancho que se incorpora a la flota en treinta y siete años (los anteriores fueron en 1978 los 747 jumbo d...
Aerolíneas Argentinas,Operaciones_y_Flota,2015 ,"También al año 2015 se inició la construcción del Hangar 5 en Ezeiza, que será el hangar más grande de Latinoamérica.​ El 11 de marzo de 2015, Aerolín..."
Aerolíneas Argentinas,Finanzas_y_Costos,330,Y al finalizar el mismo mes llegaba el segundo de los cuatro Airbus A330-200 con la matrícula LV-FVI que fueron comprados directamente a la fábrica de...
Aerolíneas Argentinas,Operaciones_y_Flota,25 ,"Sol se declaró en quiebra al día siguiente, provocando el cese de las actividades, dejando a pasajeros varados, a casi trescientas personas sin empleo..."
Aerolíneas Argentinas,Operaciones_y_Flota,2020,"Además, se crearon dos nuevas unidades de negocios: una de mantenimiento y reparación de aviones para dar servicios a terceros y otra de transporte de..."
Aerolíneas Argentinas,Finanzas_y_Costos,24 ,"También se realizaron distintos vuelos acondicionados para traer insumos médicos desde China. El 24 de diciembre de 2020, se realizó el primer vuelo p..."
Aerolíneas Argentinas,Finanzas_y_Costos,16.3 %,"También aumentaron las frecuencias y las horas de vuelo y la cantidad de pasajeros transportados un 16.3 %, un 14 % y un 19.1 %, respectivamente.​ Aum..."
Aerolíneas Argentinas,Operaciones_y_Flota,2010,"A partir del cumplimiento del «Plan de negocios 2010-2014» se está empezando a reflejar en los costos y beneficios de la empresa, además de la calidad..."
Aerolíneas Argentinas,Finanzas_y_Costos,90 %,"Logró un índice de un 90 %, según un estudio realizado por la empresa FlightsStats, liderarando la lista de clasificación en puntualidad de la región...."
Aerolíneas Argentinas,Operaciones_y_Flota,18 ,"Esto llevó a reportar por primera vez en 18 años, balances operativos superavitarios en los ejercicios 2024 y 2025​  Empresas del Grupo Aerolíneas Arg..."
Aerolíneas Argentinas,Operaciones_y_Flota,190,Esta empresa realizaba sus vuelos con veintiséis aviones Embraer 190...
Aerolíneas Argentinas,Operaciones_y_Flota,2013,Fue estatizada durante el Proceso de Reorganización Nacional.  Aerolíneas Cargo Aerolíneas Cargo es la empresa responsable de la comercialización de l...
Aerolíneas Argentinas,Operaciones_y_Flota,2002 ,"Desde noviembre de 2002 lo hace en todos los aeropuertos de la República Argentina, a donde llegan los vuelos regulares de Aerolíneas Argentinas y Aus..."
Aerolíneas Argentinas,Operaciones_y_Flota,1995,"Ofrece más de ciento veinte vuelos diarios desde y hacia el interior del país, cubriendo todos los días más de treinta aeropuertos nacionales desde su..."
Aerolíneas Argentinas,Operaciones_y_Flota,330 ,En varios momentos del vuelo se ofrecen bebidas frías (gaseosas o jugos) y calientes (café). En los Airbus A330 que realizan vuelos internacionales a ...
Aerolíneas Argentinas,Operaciones_y_Flota,2011 ,"En 2011 Aerolíneas Argentinas modificó su concepto en la selección de los pasajeros más frecuentes, incorporando un nuevo grupo de socios Elite denomi..."
Aerolíneas Argentinas,Finanzas_y_Costos,2009,"En agosto de 2009, estas son: Álamo, Avis, Europcar, Hoteles Hilton, Les Amis Viajes, NH Hoteles, NA Town & Country Hotels y Optar.​ A través de un ac..."
Aerolíneas Argentinas,Operaciones_y_Flota,2012 ,Estos acuerdos implican la posibilidad de acumular y redimir millas en los vuelos de las tres compañías. En octubre de 2012 el programa Aerolíneas Plu...
Aerolíneas Argentinas,Operaciones_y_Flota,737,"Asimismo, Aerolíneas Argentinas implementa el programa Sky Priority para sus socios Elite, comenzando su implementación en el Aeropuerto Ministro Pist..."
Aerolíneas Argentinas,Operaciones_y_Flota,1 ,"Además cuenta con una red de rutas internacionales que llega a veinticuatro ciudades en América del Sur, El Caribe, América del Norte y Europa.  Hubs ..."
Aerolíneas Argentinas,Finanzas_y_Costos,2013 ,"Díaz Ferrán fue declarado culpable el mes de junio de 2013 por el Juzgado de lo Mercantil n.º 12 de Madrid.La privatización de Aerolíneas Argentinas, ..."
Aerolíneas Argentinas,Operaciones_y_Flota,5 ,Permanece en prisión preventiva desde el 5 de diciembre de 2012 por la causa en la que se investiga el vaciamiento patrimonial del grupo Marsans. Díaz...
Aerolíneas Argentinas,Finanzas_y_Costos,2019,"A los dos pilotos, además, se le ordenó tomar cursos de capacitación.​ En marzo de 2019, Xipolitakis fue sobreseída tras considerarse cumplidas las 29..."
Aerolíneas Argentinas,Finanzas_y_Costos,78 millones,"La privatización de Aerolíneas Argentinas, ha sido muy cuestionada, destacándose el hecho de que sólo Iberia se presentó como ofertante, durante el pr..."
Aerolíneas Argentinas,Finanzas_y_Costos,12 ,"ADEPA exhortó a las partes a buscar una solución.​ Página 12 contrató otro servicio de transporte.​  Mensaje en vuelos En 2018 y 2019, pilotos del sin..."
Aerolíneas Argentinas,Operaciones_y_Flota,2009 ,"Cuando aumentamos las ventas, como las venimos aumentando, se cargan más valijas, se atienden a más personas en los mostradores y para eso no podemos ..."
Aerolíneas Argentinas,Finanzas_y_Costos,2015 ,En diciembre de 2015 la empresa tenía un patrimonio neto de 75.9 millones de dólares y 200 millones en concepto de caja...
Aerolíneas Argentinas,Finanzas_y_Costos,2011,"A partir de 2011, diversos informes cuestionaron la cantidad de pilotos por avión.​​​​​​​​ Contaba, para este entonces, con 1.39 empleados por cada mi..."
Aerolíneas Argentinas,Finanzas_y_Costos,801 ,"El patrimonio neto era, al cierre del ejercicio, negativo en 801 394 pesos para Aerolíneas (a causa de las pérdidas del ejercicio que, a pesar de las ..."
Aerolíneas Argentinas,Finanzas_y_Costos,2008,"Así, la empresa alcanzará el equilibrio financiero por primera vez desde 2008, cuando el Estado Nacional recuperó el control de la línea área.La compa..."
Aerolíneas Argentinas,Finanzas_y_Costos,2126 millones,"Tanto en este caso como en los anteriores, los ejercicios contables fueron auditados por la Auditoria General de la Nación como por la consultora inte..."
Aerolíneas Argentinas,Finanzas_y_Costos,2023,"También se destacan los cien millones de dólares que la empresa logró ingresar a través de un fideicomiso administrado por BICE Fideicomisos S.A., emp..."
Aerolíneas Argentinas,Finanzas_y_Costos,2023,"El informe, presentado por la Comisión de Supervisión de Control del Sector No Financiero, presidida por María Graciela de la Rosa, arrojó que la comp..."
Aerolíneas Argentinas,Finanzas_y_Costos,$156.323,"De ahí se desprende el mencionado resultado económico de $156.323,9 millones. Por otro lado, el mismo informe reporta que en el período 2023 la empres..."
Aerolíneas Argentinas,Operaciones_y_Flota,330,"Según los jueces, existen pruebas de sobra para responsabilizar a ambos del delito de peculado, que prevé hasta diez años de cárcel.​  Flota El grupo ..."
Aerolíneas Argentinas,Operaciones_y_Flota,777,"En un momento, se dijo que se añadirían Boeing 777, Boeing 787 o Airbus A350, en reemplazo de los A340.​ Hasta el momento, Aerolíneas posee sus diez A..."
Aerolíneas Argentinas,Finanzas_y_Costos,2018 ,Se envió a inicio de 2018 a los cuatro mayores fabricantes de aviones el RFP (Request for Purchase) en el que se piden condiciones para la compra de u...
Aerolíneas Argentinas,Operaciones_y_Flota,2025,"A noviembre de 2025, la edad promedio de la flota de Aerolíneas Argentinas es de 11.9 años.​ Aerolíneas Argentinas canceló su pedido de doce Embraer E..."
Aerolíneas Argentinas,Operaciones_y_Flota,1959,"Un tripulante muerto, ocho pasajeros heridos y cuarenta y un ilesos (cinco tripulantes, y treinta y seis pasajeros).​ 1959: Un Douglas DC-3 (LV-AFW) c..."
Aerolíneas Argentinas,Operaciones_y_Flota,3 ,"Murieron 3 tripulantes y 5 pasajeros, y un tripulante y un pasajero resultaron desaparecidos.​ 1959: Un De Havilland Comet DH106 (LV-AHP Aerolíneas Ar..."
Aerolíneas Argentinas,Operaciones_y_Flota,1961,"Fallecen los veinticinco pasajeros y seis tripulantes, sin encontrarse sobrevivientes.​ 1961: Un Douglas DC-6 (LV-ADW) se precipitó a tierra en Azul, ..."
Aerolíneas Argentinas,Operaciones_y_Flota,1970 ,"Sesenta y siete pasajeros y siete tripulantes ilesos.​  1970 1978: Un Boeing 737 (LV-JNE), mientras aterrizaba en el Aeroparque Jorge Newbery, comenzó..."
Aerolíneas Argentinas,Operaciones_y_Flota,1980 ,"De las ciento cinco personas a bordo, seis eran tripulantes y noventa y tres pasajeros, de estos últimos, seis resultaron heridos.​ Uno falleció a las..."
Aerolíneas Argentinas,Operaciones_y_Flota,340,"Como consecuencia de esto, ambas aeronaves debieron ser reparadas en los hangares de dicho aeropuerto.[cita requerida] Un Airbus A340-313X con matrícu..."
Aerolíneas Argentinas,Operaciones_y_Flota,380 ,La manga afectada debido a los grandes daños sufridos esta inoperativa y actualmente solo funciona la manga delantera que es la que quedó intacta (est...
